Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Benjamin Corgnet,592.0,932.0,24.0,21.0
Benjamin Goller,58.0,87.0,2.0,0.0
Benjamin Hadžić,4.0,6.0,1.0,0.0
Benjamin Henrichs,1991.0,2672.0,43.0,59.0
Benjamin Hübner,3014.0,3550.0,17.0,19.0
Benjamin Jeannot,588.0,828.0,22.0,17.0
Benjamin Lecomte,2343.0,3397.0,7.0,0.0
Benjamin Mendy,2285.0,2712.0,40.0,77.0
Benjamin Nivet,543.0,704.0,29.0,22.0
Benjamin Pavard,5806.0,6803.0,42.0,72.0
Benjamin Stambouli,2518.0,3261.0,23.0,26.0
Benno Schmitz,637.0,885.0,16.0,20.0
Benoît Assou-Ekotto,436.0,606.0,8.0,7.0
Benoît Costil,2465.0,3658.0,5.0,2.0
Benoît Mukinayi,2951.0,3308.0,6.0,4.0
Beram Kayal,389.0,529.0,15.0,7.0
Berat Djimsiti,4667.0,5306.0,24.0,21.0
Berkay Özcan,364.0,486.0,16.0,10.0
Bernard,1188.0,1603.0,68.0,67.0
Bernard Tekpetey,63.0,103.0,4.0,4.0
Bernardo,1745.0,2376.0,19.0,32.0
Bernardo Espinosa,2991.0,3646.0,15.0,6.0
Bernardo Silva,4081.0,4773.0,158.0,143.0
Bernd Leno,2883.0,3955.0,3.0,0.0
Bersant Celina,404.0,537.0,26.0,25.0
Bertrand Traoré,2304.0,2942.0,90.0,102.0
Beñat Etxebarria,1777.0,2225.0,70.0,39.0
