Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Wissam Ben Yedder,La Liga,FW,26.0,25,18,18.9,9,3,2,2
Diego Benaglio,Ligue 1,GK,33.0,3,2,2.5,0,0,0,0
Ahmad Benali,Serie A,MF,25.0,10,10,9.0,1,1,2,0
Yohan Benalouane,Premier League,DF,30.0,1,1,1.0,0,0,0,0
Marco Benassi,Serie A,"MF,FW",22.0,35,35,30.9,5,3,6,0
Medhi Benatia,Serie A,DF,30.0,20,19,19.5,2,0,8,0
Lars Bender,Bundesliga,"DF,MF",28.0,21,20,17.7,2,4,5,0
Sven Bender,Bundesliga,DF,28.0,29,29,26.1,2,0,0,0
László Bénes,Bundesliga,MF,19.0,2,0,0.4,0,0,0,0
Nicolas Benezet,Ligue 1,"FW,MF",26.0,29,18,18.3,3,3,2,0
Marcel Benger,Bundesliga,MF,19.0,1,0,0.0,0,0,0,0
Walter Benítez,Ligue 1,GK,24.0,28,28,28.0,0,0,3,0
Charlison Benschop,Bundesliga,"MF,FW",27.0,7,2,2.0,1,0,0,0
Ramy Bensebaini,Ligue 1,DF,22.0,29,26,26.0,0,1,6,0
Nabil Bentaleb,Bundesliga,MF,22.0,16,12,11.2,4,3,3,1
Rodrigo Bentancur,Serie A,MF,20.0,20,5,6.5,0,0,0,0
Christian Benteke,Premier League,FW,26.0,31,24,24.9,3,5,6,0
Karim Benzema,La Liga,FW,29.0,32,25,23.9,5,9,0,0
Yassine Benzia,Ligue 1,"MF,FW",22.0,31,30,25.4,1,5,8,0
Saido Berahino,Premier League,FW,23.0,15,3,5.5,0,1,0,0
Domenico Berardi,Serie A,FW,22.0,31,29,25.5,4,2,8,1
Yuri Berchiche,Ligue 1,DF,27.0,22,19,19.1,2,3,4,0
Álex Berenguer,Serie A,FW,22.0,22,11,11.6,1,3,1,0
Bartosz Bereszyński,Serie A,DF,25.0,31,28,27.6,0,1,5,0
Jóhann Berg Guðmundsson,Premier League,"MF,FW",26.0,35,32,31.5,2,8,2,0
Markel Bergara,La Liga,MF,31.0,18,18,16.2,4,0,5,0
Emil Berggreen,Bundesliga,FW,24.0,14,6,7.4,4,2,2,0
Robert Berić,Ligue 1,FW,26.0,15,12,11.6,7,1,0,0
Kévin Bérigaud,Ligue 1,"MF,FW",29.0,5,4,3.0,0,0,0,0
Etrit Berisha,Serie A,GK,28.0,31,31,31.0,0,0,0,0
Federico Bernardeschi,Serie A,"FW,MF",23.0,22,7,9.4,4,3,4,0
Bernardo,Bundesliga,DF,22.0,18,15,15.0,1,1,2,0
Juan Bernat,Bundesliga,"DF,FW",24.0,11,11,9.9,0,2,1,0
Andrea Bertolacci,Serie A,MF,26.0,33,33,32.2,1,0,7,1
Ryan Bertrand,Premier League,DF,27.0,35,35,34.8,0,4,2,0
Muhamed Bešić,Premier League,MF,24.0,2,0,0.5,0,0,0,0
Daniel Bessa,Serie A,"MF,FW",24.0,17,15,15.4,1,1,5,0
Daniel Bessa,Serie A,MF,24.0,11,6,4.9,2,0,0,0
Vincent Bessat,Ligue 1,"DF,MF",31.0,24,18,17.4,0,0,2,0
Quentin Beunardeau,Ligue 1,GK,23.0,1,0,0.4,0,0,0,0
Matteo Bianchetti,Serie A,DF,24.0,2,1,1.4,0,0,1,0
Ermin Bičakčić,Bundesliga,DF,27.0,9,7,6.1,0,0,4,0
Pedro Bigas,La Liga,DF,26.0,12,11,9.9,0,0,3,0
Lucas Biglia,Serie A,MF,31.0,28,24,22.7,1,0,5,0
Philip Billing,Premier League,MF,21.0,16,8,8.5,0,0,3,0
Jean-Claude Billong,Serie A,DF,23.0,5,3,3.3,0,0,0,0
Davide Biondini,Serie A,"MF,FW",34.0,7,2,2.3,0,0,1,0
Cristiano Biraghi,Serie A,DF,24.0,34,34,33.1,1,4,7,0
Mame Biram Diouf,Premier League,"FW,MF",29.0,35,30,28.8,6,2,6,0
Davide Biraschi,Serie A,DF,23.0,23,20,20.0,0,1,2,0
Valter Birsa,Serie A,"MF,FW",30.0,35,29,27.8,3,6,3,0
Milan Biševac,Ligue 1,DF,33.0,10,10,7.9,0,0,1,0
Yves Bissouma,Ligue 1,"MF,DF",20.0,24,15,17.4,2,0,3,0
Leonardo Bittencourt,Bundesliga,"MF,FW",23.0,22,17,17.9,5,3,4,0
Albano Bizzarri,Serie A,GK,39.0,32,32,32.0,0,0,0,1
Rubén Blanco,La Liga,GK,22.0,22,22,21.6,0,0,3,1
Ludovic Blas,Ligue 1,MF,19.0,31,17,19.9,3,2,3,2
Pablo de Blasis,Bundesliga,"FW,MF",29.0,25,20,18.4,5,2,2,0
Jérémy Blayac,Ligue 1,"FW,MF",34.0,25,7,10.2,3,1,2,0
Alexis Blin,Ligue 1,MF,20.0,26,20,21.0,1,3,5,0
Daley Blind,Premier League,"DF,MF",27.0,7,4,4.0,0,0,0,0
Danny Blum,Bundesliga,"FW,DF",26.0,2,0,0.3,1,0,0,0
Emmanuel Boateng,La Liga,FW,21.0,25,10,14.2,6,0,5,0
Jérôme Boateng,Bundesliga,DF,28.0,19,19,18.2,1,2,4,0
Kevin-Prince Boateng,Bundesliga,"MF,FW",30.0,31,27,26.2,6,1,4,0
Raúl Bobadilla,Bundesliga,"FW,MF",30.0,13,5,5.0,0,0,2,0
Yann Bodiger,Ligue 1,"MF,FW",22.0,7,2,2.5,0,0,0,0
Mathieu Bodmer,Ligue 1,"DF,MF",34.0,13,3,4.4,1,0,2,0
Jeremie Boga,Premier League,MF,20.0,1,1,0.2,0,0,0,0
Quentin Boisgard,Ligue 1,"MF,FW",20.0,6,1,2.0,0,0,1,0
Yannick Bolasie,Premier League,"FW,MF",28.0,16,11,9.5,1,0,0,0
Deian Boldor,Serie A,DF,22.0,1,1,1.0,0,0,1,0
Giacomo Bonaventura,Serie A,MF,27.0,33,30,28.2,8,2,3,0
Federico Bonazzoli,Serie A,FW,20.0,11,2,2.0,0,0,0,0
