Player Name,Total Shots,Shots on Target
Andrés Guardado,12,4
Sergi Guardiola,54,19
Nemanja Gudelj,7,1
Gonçalo Guedes,23,9
Mattéo Guendouzi,11,5
Raphaël Guerreiro,40,15
Adrián Guerrero,0,0
Ander Guevara,3,0
Babacar Guèye,2,0
John Guidetti,2,0
Josuha Guilavogui,22,6
Frederic Guilbert,8,3
Hugo Guillamón,0,0
Bruno Guimarães,2,0
Sehrou Guirassy,42,16
Rafik Guitane,0,0
Péter Gulácsi,0,0
Manuel Gulde,14,2
Sinan Gümüş,3,2
İlkay Gündoğan,31,6
Angus Gunn,0,0
Christian Günter,30,9
Koray Günter,6,1
Régis Gurtner,0,0
Luiz Gustavo,2,0
Ismael Gutiérrez,0,0
Jonathan de Guzmán,1,0
Janik Haberer,14,4
